f0_,date
0.0173,2017-09-16T00:00:00
0.0132,2017-09-17T00:00:00
0.0268,2017-09-18T00:00:00
0.0086,2017-09-19T00:00:00
0.0206,2017-09-20T00:00:00
0.012,2017-09-21T00:00:00
0.0323,2017-09-22T00:00:00
0.0301,2017-09-25T00:00:00
0.0534,2017-09-26T00:00:00
0.0407,2017-09-27T00:00:00
0.0366,2017-09-28T00:00:00
0.0511,2017-09-29T00:00:00
0.0083,2017-09-30T00:00:00
0.0139,2017-10-01T00:00:00
0.0302,2017-10-02T00:00:00
0.0334,2017-10-03T00:00:00
0.0492,2017-10-04T00:00:00
0.0563,2017-10-05T00:00:00
0.0468,2017-10-06T00:00:00
0.034,2017-10-07T00:00:00
0.028,2017-10-08T00:00:00
0.0309,2017-10-09T00:00:00
0.0711,2017-10-10T00:00:00
0.0338,2017-10-11T00:00:00
0.033,2017-10-12T00:00:00
0.0625,2017-10-13T00:00:00
0.0315,2017-10-14T00:00:00
0.0326,2017-10-15T00:00:00
0.0789,2017-10-16T00:00:00
0.0558,2017-10-17T00:00:00
0.0707,2017-10-18T00:00:00
0.0528,2017-10-19T00:00:00
0.0096,2017-10-20T00:00:00
0.0328,2017-10-21T00:00:00
0.043,2017-10-22T00:00:00
0.0471,2017-10-23T00:00:00
0.0554,2017-10-24T00:00:00
0.0312,2017-10-25T00:00:00
0.0462,2017-10-26T00:00:00
0.0459,2017-10-27T00:00:00
0.0471,2017-10-28T00:00:00
0.0264,2017-10-29T00:00:00
0.0391,2017-10-30T00:00:00
0.0365,2017-10-31T00:00:00
0.0325,2017-11-01T00:00:00
0.0557,2017-11-02T00:00:00
0.0189,2017-11-03T00:00:00
0.017,2017-11-04T00:00:00
0.0193,2017-11-05T00:00:00
0.0579,2017-11-06T00:00:00
0.0872,2017-11-07T00:00:00
0.0347,2017-11-08T00:00:00
0.0163,2017-11-09T00:00:00
0.0187,2017-11-10T00:00:00
0.0532,2017-11-11T00:00:00
0.054,2017-11-12T00:00:00
0.0549,2017-11-13T00:00:00
0.0587,2017-11-14T00:00:00
0.027,2017-11-15T00:00:00
0.019,2017-11-16T00:00:00
0.0185,2017-11-17T00:00:00
0.0508,2017-11-18T00:00:00
0.0407,2017-11-19T00:00:00
0.0471,2017-11-20T00:00:00
0.0705,2017-11-21T00:00:00
0.0827,2017-11-22T00:00:00
0.043,2017-11-23T00:00:00
0.0428,2017-11-24T00:00:00
0.0522,2017-11-25T00:00:00
0.016,2017-11-26T00:00:00
0.0268,2017-11-27T00:00:00
0.0504,2017-11-28T00:00:00
0.0653999,2017-11-29T00:00:00
0.0782,2017-11-30T00:00:00
0.0875,2017-12-01T00:00:00
0.0707,2017-12-02T00:00:00
0.0411,2017-12-03T00:00:00
0.0656,2017-12-04T00:00:00
0.0753999,2017-12-05T00:00:00
0.0933,2017-12-06T00:00:00
0.103,2017-12-07T00:00:00
0.0919,2017-12-08T00:00:00
0.1073,2017-12-09T00:00:00
0.0935,2017-12-10T00:00:00
0.1373,2017-12-11T00:00:00
0.1053,2017-12-12T00:00:00
0.1155,2017-12-13T00:00:00
0.0834,2017-12-14T00:00:00
0.1218,2017-12-15T00:00:00
0.0649,2017-12-16T00:00:00
0.1055,2017-12-17T00:00:00
0.0958999,2017-12-18T00:00:00
0.1263,2017-12-19T00:00:00
0.0279,2017-12-20T00:00:00
0.0818,2017-12-21T00:00:00
0.0834,2017-12-22T00:00:00
0.0677,2017-12-23T00:00:00
0.0425,2017-12-24T00:00:00
0.039,2017-12-25T00:00:00
0.0991,2017-12-26T00:00:00
0.0961,2017-12-27T00:00:00
0.0943,2017-12-28T00:00:00
0.1063,2017-12-29T00:00:00
0.1003,2017-12-30T00:00:00
0.0523,2017-12-31T00:00:00
0.0509,2018-01-01T00:00:00
0.0721999,2018-01-02T00:00:00
0.0419,2018-01-03T00:00:00
0.0252,2018-01-04T00:00:00
0.0507,2018-01-05T00:00:00
0.0233,2018-01-06T00:00:00
0.0345,2018-01-07T00:00:00
0.0178,2018-01-08T00:00:00
0.0254,2018-01-09T00:00:00
0.0251,2018-01-10T00:00:00
0.0677,2018-01-11T00:00:00
0.0643,2018-01-12T00:00:00
0.0171,2018-01-13T00:00:00
0.0242,2018-01-14T00:00:00
0.0558,2018-01-15T00:00:00
0.0559,2018-01-16T00:00:00
0.052,2018-01-17T00:00:00
0.0436,2018-01-18T00:00:00
0.0124,2018-01-19T00:00:00
0.0561,2018-01-20T00:00:00
0.0534,2018-01-21T00:00:00
0.0508,2018-01-22T00:00:00
0.0307,2018-01-23T00:00:00
0.0558,2018-01-24T00:00:00
0.029,2018-01-25T00:00:00
0.0757,2018-01-26T00:00:00
0.0613,2018-01-27T00:00:00
0.0731,2018-01-28T00:00:00
0.0738,2018-01-29T00:00:00
0.0664999,2018-01-30T00:00:00
0.0716,2018-01-31T00:00:00
0.0662,2018-02-01T00:00:00
0.0568,2018-02-02T00:00:00
0.0515,2018-02-03T00:00:00
0.0344,2018-02-04T00:00:00
0.0696999,2018-02-05T00:00:00
0.0878,2018-02-06T00:00:00
0.0675,2018-02-07T00:00:00
0.0778,2018-02-08T00:00:00
0.0635,2018-02-09T00:00:00
0.0365,2018-02-10T00:00:00
0.0328,2018-02-11T00:00:00
0.0397,2018-02-12T00:00:00
0.0751,2018-02-13T00:00:00
0.0484,2018-02-14T00:00:00
0.0423,2018-02-15T00:00:00
0.0567,2018-02-16T00:00:00
0.0553,2018-02-17T00:00:00
0.0443,2018-02-18T00:00:00
0.0263,2018-02-19T00:00:00
0.065,2018-02-20T00:00:00
0.0758,2018-02-21T00:00:00
0.0427,2018-02-22T00:00:00
0.0399,2018-02-23T00:00:00
0.0544,2018-02-24T00:00:00
0.0658,2018-02-25T00:00:00
0.0831,2018-02-26T00:00:00
0.0422,2018-02-27T00:00:00
0.0373,2018-02-28T00:00:00
