max_rh_93710,max_soil_temp_93710,min_wss_93720,date,Season,year,aqi,ozone,pm25,nox,pollutant
76,26.2,1.5,2017-06-28T00:00:00,1.0,2017,63,0.0586000047624111,13.5,0.0109,ozone
61,26.2,0.0,2017-07-29T00:00:00,1.0,2017,201,0.087399959564209,22.3,0.013,ozone
62,27.2,2.1,2017-06-26T00:00:00,1.0,2017,48,0.052300002425909,10.5,0.0075,ozone
59,28.2,0.0,2017-07-19T00:00:00,1.0,2017,105,0.0670999884605408,37.2,0.0142,pm25
86,16.7,4.1,2017-04-25T00:00:00,0.25,2017,60,0.0576999932527542,10.4,0.0049,ozone
84,16.7,0.0,2017-10-13T00:00:00,0.75,2017,96,0.064300000667572,33.4,0.0625,pm25
60,16.7,3.1,2017-11-16T00:00:00,0.75,2017,59,0.038100004196167,16.1,0.019,pm25
84,16.7,0.0,2017-10-16T00:00:00,0.75,2017,120,0.0764999985694885,40.9,0.0789,ozone
84,16.7,3.6,2017-04-24T00:00:00,0.25,2017,45,0.0458999909460545,10.9,0.0071,pm25
93,17.7,0.0,2017-10-20T00:00:00,0.75,2017,51,0.0423999913036823,12.2,0.0096,pm25
92,18.7,0.0,2017-10-26T00:00:00,0.75,2017,129,0.0789999961853027,29.7,0.0462,ozone
97,18.7,0.0,2017-10-30T00:00:00,0.75,2017,111,0.0658999681472778,39.4,0.0391,pm25
72,19.7,2.1,2017-05-30T00:00:00,0.25,2017,55,0.054699994623661,14.0,0.0085,pm25
79,19.7,0.0,2017-09-28T00:00:00,0.75,2017,116,0.0753999352455139,17.9,0.0366,ozone
75,19.7,0.0,2017-05-24T00:00:00,0.25,2017,147,0.0840999484062195,23.6,0.0192,ozone
75,20.7,0.0,2017-05-06T00:00:00,0.25,2017,49,0.047800000756979,11.7,0.0332,pm25
74,21.7,0.0,2017-06-17T00:00:00,0.25,2017,134,0.080299973487854,18.9,0.0144,ozone
38,24.7,1.5,2017-07-18T00:00:00,1.0,2017,143,0.0646999478340149,52.4,0.0124,pm25
77,25.7,0.0,2017-08-28T00:00:00,1.0,2017,78,0.138399958610535,25.0,0.0254,pm25
72,25.7,1.5,2017-06-29T00:00:00,1.0,2017,65,0.0591999962925911,17.1,0.0165,ozone
83,25.7,0.0,2017-08-12T00:00:00,1.0,2017,140,0.082099974155426,22.7,0.0138,ozone
53,26.7,0.0,2017-08-04T00:00:00,1.0,2017,73,0.0616000033915043,20.3,0.0249,ozone
69,26.7,0.0,2017-08-02T00:00:00,1.0,2017,201,0.0871999859809875,28.0,0.0173,ozone
74,27.7,2.1,2017-09-07T00:00:00,1.0,2017,74,0.061999998986721,19.6,0.0084,ozone
96,8.2,0.0,2017-12-17T00:00:00,0.75,2017,149,0.0378000028431416,54.8,0.1055,pm25
98,8.7,0.0,2017-12-22T00:00:00,0.0,2017,126,0.0303000025451183,45.6,0.0834,pm25
98,9.7,0.0,2017-12-06T00:00:00,0.75,2017,94,0.0339999981224537,32.6,0.0933,pm25
88,9.7,0.0,2017-12-24T00:00:00,0.0,2017,161,0.0338000021874905,75.0,0.0425,pm25
95,9.7,0.0,2017-12-31T00:00:00,0.0,2017,168,0.0488999933004379,89.3,0.0523,pm25
