date,month,year,Season,carryover,max_rh_93612,max_stat_pres_93612,min_stat_press_93612,sum_sol_rad_93612,max_eto_93710,max_precip_93710,max_soil_temp_93710,max_wss_93720,min_wss_93720,nox,ozone,pm25,pollutant,aqi
2012-04-03T00:00:00,4,2012,0.25,66,94,1005.23,1001.23,3618432.0000000792,0.56,0.56,15.2,6.7,0.0,0.023,0.062999963760376,18.0,ozone,77
2013-11-25T00:00:00,11,2013,0.75,99,100,1011.9,1009.23,1793134.0800000129,0.29,0.1,13.6,2.6,0.0,0.0739999,0.0429999977350235,39.0,pm25,110
2017-04-21T00:00:00,4,2017,0.25,51,73,1008.43,1000.7,4257688.319999774,0.64,0.64,16.6,5.1,0.0,0.0241,0.0706999897956848,14.8,ozone,100
2013-06-20T00:00:00,6,2013,1.0,55,88,999.9,995.9,4941169.920000229,0.77,0.0,22.3,8.2,0.0,0.01,0.0559999980032444,7.0,ozone,54
2013-10-06T00:00:00,10,2013,0.75,84,84,1005.23,999.9,3127933.4400000288,0.58,0.0,19.3,2.6,0.0,0.055,0.0679999589920044,16.0,ozone,93
2019-12-23T00:00:00,12,2019,0.0,66,100,997.634,995.367,253290.23999999644,0.02,0.02,13.5,4.6,0.0,0.016,0.0213000029325485,9.0,pm25,38
2013-06-19T00:00:00,6,2013,0.25,53,93,1001.23,997.234,4961272.3200000878,0.74,0.0,22.0,8.8,2.1,0.005,0.0509999990463257,14.0,pm25,55
2013-06-26T00:00:00,6,2013,1.0,61,100,1001.23,998.567,4760248.3200002806,0.82,0.0,23.7,6.7,2.6,0.008,0.0219999998807907,17.0,pm25,61
2018-04-07T00:00:00,4,2018,0.25,53,98,1005.1,998.433,2118792.9599999851,0.46,0.46,16.8,9.3,0.0,0.0057,0.040499996393919,14.5,pm25,56
2015-05-12T00:00:00,5,2015,0.25,84,70,1001.23,998.567,4599429.1200000569,0.71,0.71,19.9,7.7,2.1,0.007,0.0649999976158142,18.0,ozone,84
2016-01-02T00:00:00,1,2016,0.0,152,80,1012.7,1008.3,896567.03999995813,0.16,0.16,9.8,3.1,0.0,0.0439,0.0274999998509884,55.0,pm25,149
2017-04-18T00:00:00,4,2017,0.25,58,100,1007.77,1003.5,1511700.4799999497,0.22,0.22,16.5,4.6,0.0,0.0315,0.0408999919891357,10.4,pm25,43
2012-10-18T00:00:00,10,2012,0.75,142,81,1001.23,998.567,2677639.679999921,0.51,0.51,22.1,5.1,0.0,0.079,0.0779999494552612,32.0,ozone,125
2012-06-13T00:00:00,6,2012,0.25,201,62,997.234,991.901,4804473.6000001868,0.82,0.82,23.0,5.7,1.5,0.01,0.0659999847412109,17.0,ozone,87
2019-02-21T00:00:00,2,2019,0.0,81,64,997.1,990.568,1905707.520000037,0.32,0.32,10.3,5.7,0.0,0.0257,0.037699993699789,9.0,pm25,38
2016-03-17T00:00:00,3,2016,0.0,119,88,1004.03,1000.03,2354689.0400000094,0.55,0.55,13.5,3.1,0.0,0.0356,0.0636999607086182,33.0,pm25,95
2013-01-06T00:00:00,1,2013,0.0,156,100,1007.9,1005.23,578949.11999998824,0.09,3.5,9.8,7.2,0.0,0.017,0.0369999967515469,18.0,pm25,63
2012-02-22T00:00:00,2,2012,0.0,97,98,1011.9,1005.23,2323837.4399999706,0.37,0.37,10.9,2.1,0.0,0.064,0.044999998062849,35.0,pm25,99
2019-06-25T00:00:00,6,2019,1.0,113,39,995.367,992.167,4728084.4800002016,0.93,0.93,23.9,9.3,1.5,0.0109,0.0541999936103821,17.1,pm25,62
2018-07-30T00:00:00,7,2018,1.0,146,60,999.633,995.634,3767189.7600001446,0.79,0.79,26.2,4.6,0.0,0.0286,0.0671999454498291,74.5,pm25,161
2016-08-31T00:00:00,8,2016,1.0,146,62,1003.1,1000.3,3831517.4400001667,0.74,0.74,25.3,6.7,1.5,0.0155,0.0566999949514866,14.0,ozone,57
2013-10-04T00:00:00,10,2013,0.75,50,84,1003.9,999.9,3111851.5199999218,0.52,0.0,19.7,3.6,0.0,0.047,0.0589999966323376,18.0,ozone,64
2017-04-14T00:00:00,4,2017,0.25,43,81,1008.03,1004.83,4205422.0799997644,0.62,0.62,16.3,8.2,3.1,0.0083,0.0504999980330467,6.9,ozone,47
2017-03-20T00:00:00,3,2017,0.25,79,74,1003.77,1000.43,2500738.5599999684,0.56,0.56,15.8,6.2,0.0,0.0186,0.0496000051498413,18.0,pm25,63
2012-08-29T00:00:00,8,2012,1.0,132,49,998.567,993.234,3940070.4000000954,0.73,0.73,25.3,3.1,0.0,0.029,0.103999972343445,32.0,ozone,200
2016-05-31T00:00:00,5,2016,0.25,108,25,1000.83,996.834,4812514.56000008,0.83,0.83,24.4,5.7,0.0,0.019,0.0705999732017517,19.0,ozone,100
2013-08-02T00:00:00,8,2013,1.0,58,82,999.9,995.9,4691900.1599999843,0.75,0.0,25.8,4.1,0.0,0.028,0.0659999847412109,13.0,ozone,87
2017-07-06T00:00:00,7,2017,1.0,201,49,1003.37,998.967,4595408.6400000378,0.79,0.79,25.3,6.2,1.5,0.0111,0.092199981212616,22.2,ozone,201
2015-06-11T00:00:00,6,2015,0.25,67,84,999.9,995.9,4655715.839999754,0.77,0.77,21.2,4.6,0.0,0.012,0.0779999494552612,19.0,ozone,125
2019-03-14T00:00:00,3,2019,0.0,52,74,1011.23,1008.7,2710236.2799999462,0.57,0.57,12.8,3.6,0.0,0.0278,0.0494999997317791,20.8,pm25,69
2019-02-11T00:00:00,2,2019,0.0,70,37,1011.37,1007.63,2504759.0399999628,0.38,0.38,11.1,2.6,0.0,0.0435,0.0433999933302402,12.9,pm25,53
2016-08-03T00:00:00,8,2016,1.0,201,59,1003.9,999.9,4531080.95999977,0.84,0.84,25.3,5.7,1.5,0.0302,0.0810999870300293,24.0,ozone,136
2012-07-24T00:00:00,7,2012,1.0,201,60,999.9,995.9,4816535.0400000568,0.82,0.82,25.0,3.6,0.0,0.029,0.0759999752044678,25.0,ozone,118
2012-03-06T00:00:00,3,2012,0.0,76,87,999.9,997.234,2512799.9999999739,0.51,0.51,11.8,11.3,1.5,0.009,0.0479999966919422,10.0,ozone,44
2016-06-21T00:00:00,6,2016,1.0,104,31,1005.9,1001.23,4904985.6000001971,0.86,0.86,24.2,5.7,1.5,0.0142,0.0916999578475952,19.0,ozone,201
2018-07-29T00:00:00,7,2018,1.0,148,64,999.5,996.7,4076766.7199999536,0.8,0.8,26.2,6.2,0.0,0.0163,0.108599960803986,53.7,pm25,146
2012-12-01T00:00:00,12,2012,0.75,33,100,1006.57,1003.9,526682.88000001851,0.1,0.1,14.9,5.1,1.5,0.016,0.028999999165535,10.0,pm25,42
2013-05-21T00:00:00,5,2013,0.25,139,71,998.567,994.567,4623551.9999999944,0.83,0.0,20.9,9.8,0.0,0.036,0.0719999670982361,14.0,ozone,104
2016-01-13T00:00:00,1,2016,0.0,139,72,1018.96,1012.43,502559.99999999488,0.31,0.31,11.1,5.1,0.0,0.0243,0.0378999933600426,40.0,pm25,112
2015-03-30T00:00:00,3,2015,0.25,111,65,1005.23,1001.23,3726984.9600003739,0.66,0.66,16.5,6.7,0.0,0.056,0.0809999704360962,26.0,ozone,136
2017-09-14T00:00:00,9,2017,1.0,72,93,998.967,994.834,3429469.4400001694,0.61,0.61,24.6,5.7,1.5,0.0097,0.067799985408783,15.8,ozone,93
2018-04-09T00:00:00,4,2018,0.25,45,37,1006.17,1001.1,3919967.9999998258,0.64,0.64,16.2,3.6,0.0,0.0326,0.047800000756979,18.5,pm25,64
2012-06-11T00:00:00,6,2012,0.25,115,56,999.9,997.234,4941169.9200003054,0.83,0.83,21.4,4.6,0.0,0.02,0.0869999527931213,19.0,ozone,201
2012-10-30T00:00:00,10,2012,0.75,112,86,1005.23,999.9,2327857.9199999734,0.44,0.44,18.6,2.6,0.0,0.068,0.0759999752044678,32.0,ozone,118
2012-02-25T00:00:00,2,2012,0.0,129,80,1010.57,1006.57,2882684.1599999345,0.5,0.5,11.4,9.3,2.6,0.007,0.044999998062849,12.0,pm25,50
2013-07-26T00:00:00,7,2013,1.0,129,68,1002.57,998.567,4394384.63999969,0.78,0.0,28.3,6.7,0.0,0.024,0.090999960899353,21.0,ozone,201
2017-07-01T00:00:00,7,2017,1.0,96,60,997.1,993.234,4909006.0800000522,0.84,0.84,25.4,5.7,2.6,0.0079,0.0659999847412109,15.1,ozone,87
2017-09-18T00:00:00,9,2017,1.0,93,58,1000.7,997.1,3529981.44000017,0.64,0.64,22.5,7.7,0.0,0.0268,0.0581999942660332,26.4,pm25,81
2015-08-14T00:00:00,8,2015,1.0,97,70,1007.9,1003.9,4301913.5999995964,0.74,0.74,23.2,6.2,1.5,0.035,0.0589999966323376,19.0,pm25,66
2013-12-30T00:00:00,12,2013,0.0,166,76,1010.57,1006.57,1660458.2400000133,0.28,0.1,9.5,2.1,0.0,0.113,0.0439999997615814,69.0,pm25,158
2013-02-23T00:00:00,2,2013,0.0,112,100,1010.57,1005.23,2175079.679999935,0.38,0.0,10.0,7.2,0.0,0.027,0.0459999963641167,29.0,pm25,87
2012-06-04T00:00:00,6,2012,0.25,84,78,1005.23,997.234,4289852.16000005,0.78,0.78,22.7,13.4,3.1,0.005,0.0429999977350235,30.0,pm25,89
2017-03-12T00:00:00,3,2017,0.0,102,100,1008.03,1004.83,3208343.0399998911,0.53,0.53,14.8,3.1,0.0,0.0298,0.0601000040769577,33.4,pm25,96
2017-04-07T00:00:00,4,2017,0.25,66,100,1002.03,998.034,591010.5600000238,0.11,0.11,17.5,9.3,2.6,0.013,0.0509999990463257,13.3,pm25,54
2015-06-07T00:00:00,6,2015,0.25,108,71,999.9,997.234,4836637.4400003878,0.8,0.8,20.2,4.1,0.0,0.01,0.0779999494552612,15.0,ozone,125
2016-02-25T00:00:00,2,2016,0.0,124,87,1010.03,1007.1,2814336.0000000028,0.47,0.47,12.3,3.1,0.0,0.0661,0.0568999908864498,24.0,pm25,76
2016-05-21T00:00:00,5,2016,0.25,43,80,1006.97,1003.1,4651695.3600002313,0.7,0.7,21.7,9.3,1.5,0.0077,0.0456000044941902,7.0,ozone,42
2016-05-07T00:00:00,5,2016,0.25,43,48,1004.3,1001.9,3091749.1200000276,0.5,0.5,19.8,5.1,0.0,0.0144,0.0486999936401844,10.0,ozone,45
2012-12-29T00:00:00,12,2012,0.0,127,100,1005.23,1001.23,514621.43999999692,0.2,0.2,10.9,4.1,0.0,0.046,0.0349999964237213,39.0,pm25,110
2013-08-25T00:00:00,8,2013,1.0,100,95,997.234,993.234,4092848.6399998427,0.7,0.0,26.2,5.7,0.0,0.009,0.062999963760376,17.0,ozone,77
2012-11-18T00:00:00,11,2012,0.75,66,100,1007.9,1003.9,1242328.3200000229,0.26,0.26,15.9,5.1,0.0,0.048,0.0369999967515469,34.0,pm25,97
2013-07-30T00:00:00,7,2013,1.0,122,95,1002.57,998.567,4161196.799999733,0.75,0.0,28.0,5.7,0.0,0.016,0.0859999656677246,65.0,ozone,201
2013-06-02T00:00:00,6,2013,0.25,200,86,991.901,987.901,4832616.9600002216,0.81,0.0,23.4,5.7,0.0,0.017,0.103999972343445,23.0,ozone,200
2012-02-14T00:00:00,2,2012,0.0,82,100,1005.23,1001.23,1515720.960000023,0.26,0.26,11.5,3.6,0.0,0.044,0.0319999977946281,36.0,pm25,102
2012-11-12T00:00:00,11,2012,0.75,124,97,1014.57,1010.57,2114772.4799999925,0.34,0.34,15.0,4.1,0.0,0.088,0.0369999967515469,43.0,pm25,119
2018-06-13T00:00:00,6,2018,0.25,125,60,993.901,990.568,4888903.6800002363,0.91,0.91,22.6,6.2,0.0,0.0229,0.0823999643325806,18.5,ozone,141
2019-04-03T00:00:00,4,2019,0.25,73,76,1004.7,1000.97,3075667.2000000249,0.55,0.55,14.9,3.1,0.0,0.0177,0.0464999973773956,12.6,pm25,52
2016-03-08T00:00:00,3,2016,0.0,57,55,1008.3,1002.83,2163018.2399999327,0.47,0.47,13.4,3.6,0.0,0.0236,0.0416000038385391,25.0,pm25,78
2019-04-01T00:00:00,4,2019,0.25,56,53,1003.77,997.767,3160097.28000006,0.51,0.51,14.6,7.2,0.0,0.0268,0.0562999993562698,14.3,pm25,56
2019-08-14T00:00:00,8,2019,1.0,118,14,1000.43,996.967,4338097.9199997038,0.84,0.84,25.6,4.6,0.0,0.0391,0.0839999914169312,23.4,ozone,146
2018-06-28T00:00:00,6,2018,1.0,113,24,998.433,994.834,4892924.1600002637,0.49,0.49,24.0,6.2,1.5,0.015,0.0636999607086182,19.9,ozone,79
2013-07-15T00:00:00,7,2013,1.0,146,70,997.234,993.234,4748186.8800001293,0.81,0.0,27.2,7.7,0.0,0.016,0.0729999542236328,15.0,ozone,108
2015-02-28T00:00:00,2,2015,0.0,99,82,1001.23,995.9,1764990.7199999862,0.34,0.34,12.6,5.1,0.0,0.018,0.044999998062849,7.0,ozone,42
2016-04-14T00:00:00,4,2016,0.25,57,75,1007.5,1004.7,3948111.3599999435,0.71,0.71,15.7,10.8,0.0,0.0182,0.0521000027656555,13.0,pm25,53
2017-01-31T00:00:00,1,2017,0.0,99,100,1008.57,1004.03,2042403.8399999666,0.35,0.35,10.8,1.5,0.0,0.1027,0.045499999076128,46.1,pm25,127
2018-03-01T00:00:00,3,2018,0.0,65,88,1006.83,999.1,671420.15999997139,0.16,0.16,9.9,9.3,3.1,0.0123,0.0329999998211861,10.6,pm25,44
2012-03-11T00:00:00,3,2012,0.0,100,100,1003.9,1001.23,2754028.7999999258,0.48,0.48,12.0,5.7,0.0,0.011,0.0469999983906746,13.0,pm25,53
2016-03-15T00:00:00,3,2016,0.0,44,73,1012.57,1008.17,3180199.6799996756,0.48,0.48,13.4,4.1,0.0,0.0257,0.0398999936878681,15.0,pm25,57
2018-06-07T00:00:00,6,2018,0.25,69,74,1000.97,997.234,4760248.3200001372,0.79,0.79,22.2,6.2,2.1,0.0082,0.0658999681472778,13.7,ozone,87
2015-05-24T00:00:00,5,2015,0.25,76,81,1003.9,999.9,4703961.6000002325,0.72,0.72,18.5,4.6,0.0,0.015,0.0579999983310699,22.0,pm25,72
