date,month,year,Season,carryover,max_rh_93612,max_stat_pres_93612,min_stat_press_93612,sum_sol_rad_93612,max_eto_93710,max_precip_93710,max_soil_temp_93710,max_wss_93720,min_wss_93720,nox,ozone,pm25,pollutant,aqi,max_dp,min_dp,max_bar_press,min_bar_press,max_oTemp,min_oTemp
2012-11-07T00:00:00,11,2012,0.75,155,90,1003.9,998.567,2062506.2399999748,0.41,0.41,18.1,2.6,0.0,0.112,0.0719999670982361,77.0,pm25,162,1.39444,-3.10001,1003.92,998.589,26.7,10.3
2012-02-11T00:00:00,2,2012,0.0,107,100,1003.9,1001.23,1206143.999999996,0.27,0.27,11.8,6.2,1.5,0.018,0.0419999994337559,16.0,pm25,59,3.88888,-2.77779,1003.92,1001.26,15.7,7.7
2012-03-13T00:00:00,3,2012,0.0,74,82,1003.9,1002.57,2661557.759999834,0.54,0.54,12.4,7.7,0.0,0.015,0.0469999983906746,18.0,pm25,63,3.41111,-2.22223,1003.92,1002.59,19.2,6.6
2012-05-30T00:00:00,5,2012,0.25,67,67,1003.9,999.9,4716023.0400000187,0.79,0.79,22.4,5.1,0.0,0.011,0.0699999928474426,20.0,ozone,100,8.21111,2.73888,1003.92,999.922,31.4,12.5
2012-07-20T00:00:00,7,2012,1.0,101,64,1003.9,998.567,4651695.3599999649,0.79,0.79,24.2,6.2,0.0,0.01,0.0719999670982361,22.0,ozone,104,8.70555,1.72777,1003.92,998.589,33.6,15.7
2018-06-01T00:00:00,6,2018,0.25,49,79,1003.9,1000.3,4848698.8800002169,0.79,0.79,20.9,5.1,0.0,0.0177,0.0591000057756901,14.6,ozone,64,5.36111,-0.900009,1003.92,1000.32,27.8,9.4
2012-11-16T00:00:00,11,2012,0.75,151,92,1003.9,1001.23,980997.11999999743,0.19,0.19,15.3,5.7,0.0,0.022,0.0439999997615814,44.0,pm25,122,8.83889,5.0,1003.92,1001.26,17.3,10.9
2012-03-16T00:00:00,3,2012,0.0,59,100,1003.9,993.234,1576028.1599999487,0.38,0.38,13.6,6.2,0.0,0.009,0.0359999984502792,11.0,pm25,46,7.33889,-7.63e-06,1003.92,993.256,19.5,10.2
2012-03-12T00:00:00,3,2012,0.0,53,99,1003.9,999.9,3067626.2399999881,0.51,0.51,12.2,4.6,0.0,0.039,0.0519999973475933,23.0,pm25,74,1.68888,-7.75557,1003.92,999.922,20.0,4.0
2012-05-28T00:00:00,5,2012,0.25,53,73,1003.9,999.9,4788391.6800000621,0.76,0.76,21.3,5.7,1.5,0.005,0.0589999966323376,10.0,ozone,64,6.62778,1.66666,1003.92,999.922,28.0,10.6
2015-06-01T00:00:00,6,2015,0.25,122,70,1003.9,1001.23,4840657.9200000912,0.76,0.76,19.7,9.3,1.5,0.005,0.0499999970197678,24.0,pm25,76,4.77222,0.422215,1004.46,1001.39,28.7,10.9
2015-08-28T00:00:00,8,2015,1.0,201,50,1003.9,998.567,4016459.5199999427,0.76,0.76,23.0,6.7,0.0,0.038,0.105999946594238,27.0,ozone,201,6.1,4.25555,1003.92,998.589,39.0,18.7
2012-06-06T00:00:00,6,2012,0.25,47,85,1003.9,998.567,4800453.1200002348,0.73,0.73,21.3,5.7,1.5,0.012,0.0559999980032444,10.0,ozone,54,4.96111,-0.194452,1003.92,998.589,25.7,9.4
2012-09-14T00:00:00,9,2012,1.0,112,71,1003.9,998.567,3666677.7600001036,0.7,0.7,26.0,5.1,0.0,0.035,0.113999962806702,32.0,pm25,93,4.21666,-6.66112,1003.92,998.589,35.5,16.6
2017-05-13T00:00:00,5,2017,0.25,44,64,1003.9,998.433,4756227.84000019,0.67,0.67,15.9,8.2,0.0,0.0044,0.0527999997138977,7.1,ozone,49,2.38333,-2.20556,1003.92,998.456,21.8,7.5
2012-09-15T00:00:00,9,2012,1.0,93,54,1003.9,999.9,3554104.3200000776,0.67,0.67,26.0,5.7,0.0,0.027,0.113999962806702,36.0,pm25,102,2.55,-1.66112,1003.92,999.922,35.0,15.9
2012-09-19T00:00:00,9,2012,1.0,201,58,1003.9,999.9,3405346.55999998,0.64,0.64,24.8,5.1,0.0,0.02,0.0849999785423279,25.0,ozone,150,2.79444,-1.00001,1003.92,999.922,31.0,13.8
2015-06-22T00:00:00,6,2015,1.0,80,40,1003.9,999.9,5037661.4400001559,0.89,0.89,23.4,6.2,0.0,0.014,0.0679999589920044,16.0,ozone,93,1.07777,-2.95001,1004.32,1000.19,33.6,13.5
2012-10-28T00:00:00,10,2012,0.75,107,98,1003.9,999.9,2424349.4399998961,0.43,0.43,18.4,2.1,0.0,0.053,0.0739999413490295,31.0,ozone,111,1.26666,-3.10001,1003.92,999.922,26.2,7.1
2012-11-25T00:00:00,11,2012,0.75,152,100,1003.9,999.9,1684581.1200000695,0.29,0.29,14.7,2.6,0.0,0.05,0.0439999997615814,65.0,pm25,156,-1.52223,-6.61112,1003.92,999.922,17.3,2.3
2015-04-06T00:00:00,4,2015,0.25,54,80,1003.9,999.9,3586268.160000124,0.58,0.58,14.9,6.2,0.0,0.013,0.0559999980032444,7.0,ozone,54,-1.30001,-6.1889,1004.06,999.789,19.1,4.3
2012-03-31T00:00:00,3,2012,0.25,80,100,1003.9,997.234,2163018.2399999578,0.58,0.58,16.1,9.3,0.0,0.013,0.0489999987185001,31.0,pm25,91,6.87222,-9.63335,1003.92,997.256,19.9,8.4
2012-04-20T00:00:00,4,2012,0.25,63,98,1003.9,999.9,4181299.1999997362,0.1,0.1,16.6,3.6,0.0,0.02,0.074999988079071,32.0,ozone,115,8.18333,0.672215,1003.92,999.922,30.5,13.4
2013-11-23T00:00:00,11,2013,0.75,102,100,1003.9,999.9,1813236.4799999732,0.33,0.1,14.0,3.6,0.0,0.073,0.0389999970793724,30.0,pm25,89,1.29999,-2.21668,1003.92,999.922,14.1,1.7
2019-04-05T00:00:00,4,2019,0.25,62,91,1003.9,1001.1,2343939.8400000092,0.4,0.4,14.9,4.6,0.0,0.0148,0.037600003182888,12.7,pm25,52,5.3,-0.416676,1003.92,1001.12,19.7,8.1
2012-02-23T00:00:00,2,2012,0.0,99,98,1003.9,999.9,2557025.2799999155,0.4,0.4,11.0,4.1,0.0,0.08,0.0559999980032444,42.0,pm25,117,1.93888,-5.03334,1003.92,999.922,21.2,6.0
2015-03-10T00:00:00,3,2015,0.0,100,72,1003.9,999.9,2673619.2000000631,0.52,0.52,14.8,3.1,0.0,0.062,0.061999998986721,24.0,pm25,76,-0.683342,-10.5722,1003.66,1000.46,26.9,7.1
2012-06-29T00:00:00,6,2012,1.0,115,64,1003.9,999.9,4784371.200000111,0.77,0.77,22.5,7.2,0.0,0.008,0.0609999969601631,17.0,ozone,71,9.07778,4.35,1003.92,999.922,30.8,14.2
2015-04-28T00:00:00,4,2015,0.25,90,69,1003.9,999.9,4474794.2399998046,0.77,0.77,17.5,6.2,0.0,0.022,0.074999988079071,29.0,ozone,115,5.36666,-2.05556,1004.32,1000.06,32.1,12.3
2012-11-17T00:00:00,11,2012,0.75,122,100,1003.9,999.9,952853.75999999617,0.24,0.24,15.8,6.2,0.0,0.013,0.0349999964237213,19.0,pm25,66,8.43889,5.0,1003.92,999.922,19.7,10.3
2012-03-11T00:00:00,3,2012,0.0,100,100,1003.9,1001.23,2754028.7999999258,0.48,0.48,12.0,5.7,0.0,0.011,0.0469999983906746,13.0,pm25,53,0.511103,-11.8722,1003.92,1001.26,17.9,5.4
2012-09-07T00:00:00,9,2012,1.0,150,59,1003.9,999.9,3582247.680000253,0.71,0.71,24.6,5.7,0.0,0.025,0.0849999785423279,29.0,ozone,150,10.0444,6.15555,1003.92,999.922,32.9,14.5
2012-09-18T00:00:00,9,2012,1.0,108,62,1003.9,999.9,3437510.3999999561,0.62,0.62,25.2,4.1,0.0,0.024,0.0869999527931213,28.0,ozone,201,3.27222,-3.27223,1003.92,999.922,30.4,13.5
2018-04-15T00:00:00,4,2018,0.25,85,70,1003.9,994.301,3457612.7999999123,0.62,0.62,15.4,7.2,0.0,0.0144,0.0566999949514866,17.8,pm25,63,1.70555,-3.29445,1003.92,994.323,25.9,11.7
2018-04-11T00:00:00,4,2018,0.25,57,88,1003.9,998.567,3236486.4000001345,0.62,0.62,16.3,8.8,0.0,0.0118,0.0533000007271767,10.5,ozone,49,8.38889,-1.47223,1003.92,998.589,22.4,7.8
2015-03-01T00:00:00,3,2015,0.0,42,93,1003.9,1001.23,2613311.99999984,0.42,0.42,12.7,3.6,0.0,0.036,0.0459999963641167,14.0,pm25,55,-0.527786,-5.50557,1003.52,1000.86,17.6,5.7
2019-11-05T00:00:00,11,2019,0.75,118,45,1003.9,1000.17,2038383.3599999687,0.42,0.42,17.2,2.6,0.0,0.0727,0.0774999856948853,33.4,ozone,124,-5.76112,-10.0778,1003.92,1000.19,24.6,6.3
2016-06-10T00:00:00,6,2016,0.25,98,60,1003.9,1000.17,3626472.9599999068,0.84,0.84,24.2,7.2,3.1,0.0095,0.0507999993860722,10.0,ozone,47,7.87222,4.77222,1003.92,1000.19,29.5,15.5
2016-08-03T00:00:00,8,2016,1.0,201,59,1003.9,999.9,4531080.95999977,0.84,0.84,25.3,5.7,1.5,0.0302,0.0810999870300293,24.0,ozone,136,8.88333,3.60555,1003.92,999.922,36.8,17.1
2017-02-26T00:00:00,2,2017,0.0,72,70,1003.9,999.233,2834438.4000000195,0.39,0.39,12.1,2.6,0.0,0.0246,0.0508999936282635,25.2,pm25,79,-0.744453,-11.9945,1003.92,999.256,14.6,3.2
2015-04-25T00:00:00,4,2015,0.25,67,94,1003.9,1001.23,2709803.519999898,0.53,0.53,16.3,7.2,0.0,0.007,0.0509999990463257,21.0,pm25,70,5.38333,3.16111,1004.19,1000.59,20.5,11.0
2012-06-25T00:00:00,6,2012,1.0,51,59,1003.9,999.9,4804473.6000000034,0.78,0.78,22.3,8.2,2.6,0.006,0.0579999983310699,10.0,ozone,61,6.91666,1.59999,1003.92,999.922,26.0,11.6
2015-08-01T00:00:00,8,2015,1.0,200,51,1003.9,998.567,4474794.2399999062,0.78,0.78,24.7,7.2,0.0,0.041,0.0669999718666077,24.0,ozone,90,11.9611,3.20555,1003.92,998.589,35.0,18.9
