date,max_rh_93612,max_stat_pres_93612,min_stat_press_93612,sum_sol_rad_93612,max_eto_93710,max_precip_93710,max_soil_temp_93710,max_ws_93612,max_wss_93612,max_wd_93612,max_wds_93612,min_wd_93612,min_wds_93612,nox,pm25,ozone,aqi
2013-07-24T00:00:00,65,998.567,994.567,4607470.0800000783,0.77,0.0,27.5,4.023,4.023,328,329.0,117,111.0,0.021,14.0,0.090999960899353,201
2013-05-25T00:00:00,76,1001.23,998.567,4290592.0400002254,0.73,0.0,20.4,4.023,4.023,327,327.0,261,263.0,0.006,13.0,0.0649999976158142,84
2013-03-05T00:00:00,100,1003.9,998.567,3007319.0399998361,0.65,0.0,13.2,4.023,4.023,257,249.0,38,36.0,0.037,21.0,0.0509999990463257,70
2013-04-26T00:00:00,100,1007.9,1005.23,4305934.0799996741,0.71,0.0,16.6,3.576,4.023,323,323.0,233,249.0,0.02,25.0,0.0699999928474426,100
2013-08-15T00:00:00,84,998.567,994.567,4418507.5199996019,0.76,0.0,25.9,4.023,4.023,316,316.0,86,90.0,0.031,16.0,0.0889999866485596,201
2013-08-22T00:00:00,86,997.234,991.901,4241606.399999707,0.74,0.0,26.7,4.023,4.023,323,321.0,172,168.0,0.017,19.0,0.0709999799728394,101
2013-07-19T00:00:00,78,998.567,993.234,4547162.8800000558,0.8,0.0,26.7,3.576,4.023,359,359.0,32,25.0,0.027,20.0,0.093999981880188,201
2013-09-11T00:00:00,100,998.567,994.567,3373182.7200001343,0.66,0.0,25.6,3.129,3.576,317,317.0,271,274.0,0.019,18.0,0.062999963760376,77
2013-05-24T00:00:00,88,1001.23,997.234,4780350.7200001,0.72,0.0,20.3,3.576,3.576,347,357.0,2,9.0,0.021,18.0,0.0699999928474426,100
2013-05-03T00:00:00,81,1003.9,994.567,4490876.1599999024,0.76,0.0,23.3,3.129,3.576,315,316.0,23,35.0,0.049,24.0,0.0979999899864197,200
2013-08-28T00:00:00,73,995.9,993.234,4004398.0799999419,0.71,0.0,26.4,3.576,3.576,315,315.0,193,186.0,0.011,13.0,0.0689999461174011,97
2013-06-06T00:00:00,92,997.234,993.234,4740145.9199998872,0.79,0.0,23.8,3.576,3.576,317,316.0,272,273.0,0.013,17.0,0.0839999914169312,146
2013-07-11T00:00:00,62,998.567,994.567,4229544.9600000884,0.8,0.0,26.2,3.576,3.576,313,313.0,272,272.0,0.015,16.0,0.0829999446868896,143
2013-07-04T00:00:00,91,993.234,989.234,4434589.4399998048,0.83,0.0,27.1,3.576,3.576,328,352.0,71,67.0,0.016,42.0,0.0999999642372131,200
2013-07-27T00:00:00,69,999.9,994.567,4265729.2799999407,0.82,0.0,29.2,3.576,3.576,321,318.0,273,275.0,0.012,16.0,0.0659999847412109,87
2013-11-15T00:00:00,100,994.567,990.568,1905707.5199999528,0.32,0.0,14.9,3.576,3.576,335,342.0,15,15.0,0.0969999,48.0,0.0429999977350235,132
2013-09-14T00:00:00,93,991.901,987.901,3429469.4400001443,0.66,0.0,25.6,3.576,3.576,345,345.0,80,58.0,0.019,26.0,0.0839999914169312,146
2013-01-11T00:00:00,100,1010.57,1006.57,601501.50000000931,0.25,0.0,9.6,3.576,3.576,328,327.0,10,9.0,0.117,47.0,0.0359999984502792,129
2013-07-14T00:00:00,76,999.9,995.9,4808494.07999998,0.82,0.0,27.2,3.129,3.576,344,347.0,128,123.0,0.011,18.0,0.0839999914169312,146
2013-09-16T00:00:00,96,995.9,990.568,3578227.2000000873,0.63,0.0,25.2,3.576,3.576,326,327.0,175,169.0,0.012,14.0,0.0669999718666077,90
2013-07-21T00:00:00,71,994.567,991.901,4462732.7999996757,0.82,0.0,27.9,3.576,3.576,335,334.0,130,124.0,0.012,20.0,0.0839999914169312,146
2013-04-27T00:00:00,96,1007.9,1002.57,4322015.9999995818,0.73,0.0,16.9,3.129,3.576,354,355.0,41,51.0,0.02,27.0,0.0849999785423279,150
2013-07-13T00:00:00,89,999.9,995.9,4808494.0800001454,0.8,0.0,26.5,3.576,3.576,327,326.0,3,8.0,0.016,27.0,0.0899999737739563,201
2013-06-03T00:00:00,79,993.234,989.234,4756227.8399998993,0.79,0.0,23.4,3.576,3.576,338,343.0,185,181.0,0.018,23.0,0.0849999785423279,150
2013-08-11T00:00:00,100,999.9,995.9,4346138.8799995659,0.77,0.0,25.4,3.576,3.576,320,321.0,281,280.0,0.009,18.0,0.0549999997019768,63
2013-03-09T00:00:00,100,1013.23,1005.23,2074567.6800000381,0.4,0.0,12.1,3.576,3.576,357,355.0,34,35.0,0.011,26.0,0.0419999994337559,80
2013-03-03T00:00:00,96,1006.57,1002.57,1065427.199999992,0.35,0.0,12.9,3.576,3.576,352,353.0,1,1.0,0.013,29.0,0.0529999993741512,87
2013-08-12T00:00:00,85,998.567,995.9,4366241.2799996994,0.77,0.0,25.8,3.576,3.576,342,344.0,181,176.0,0.019,23.0,0.0649999976158142,84
2013-08-13T00:00:00,86,999.9,995.9,4378302.719999685,0.77,0.0,25.6,3.576,3.576,336,340.0,128,108.0,0.029,21.0,0.0879999995231628,201
2013-08-14T00:00:00,73,998.567,994.567,4394384.6399996495,0.79,0.0,25.4,3.576,3.576,344,343.0,27,28.0,0.029,26.0,0.0889999866485596,201
2013-01-28T00:00:00,100,1010.57,1005.23,1974055.6800000255,0.31,0.0,10.4,3.129,3.576,359,357.0,30,31.0,0.0919999,41.0,0.0369999967515469,115
2013-08-21T00:00:00,83,995.9,991.901,4197381.1199998055,0.75,0.0,27.0,3.129,3.576,348,347.0,182,183.0,0.026,21.0,0.0709999799728394,101
